nameRec,UnifiedPlusInd
Brassica napus,Brassica napus
Brassica napus subsp. oleifera,Brassica napus subsp. oleifera
Brassica nigra,Brassica nigra
Brassica oleracea,Brassica oleracea
Brassica oleracea var. oleracea,Brassica oleracea var. oleracea
Brassica rapa,Brassica rapa
Briza media,Briza media
Bromopsis,Bromopsis
Bromopsis erecta,Bromopsis erecta
Bromopsis ramosa,Bromopsis ramosa
Bromus,Bromus
Bromus commutatus,Bromus commutatus
Bromus commutatus x racemosus,Bromus commutatus
Bromus diandrus,Bromus diandrus
Bromus hordeaceus,Bromus hordeaceus
Bromus hordeaceus subsp. hordeaceus,Bromus hordeaceus
Bromus hordeaceus x lepidus = B. x pseudothominei,Bromus hordeaceus
Bromus lepidus,Bromus hordeaceus
Bromus racemosus,Bromus racemosus
Bromus sterilis,Bromus sterilis
Bryonia,Bryonia dioica
Bryonia dioica,Bryonia dioica
Buddleja,Buddleja davidii
Buddleja davidii,Buddleja davidii
Butomus umbellatus,Butomus umbellatus
Buxus sempervirens,Buxus sempervirens
Cakile maritima,Cakile maritima
Calamagrostis epigejos,Calamagrostis epigejos
Callitriche,Callitriche
Callitriche aggregate,Callitriche aggregate
Callitriche hamulata,Callitriche hamulata
Callitriche platycarpa,Callitriche platycarpa
Callitriche stagnalis,Callitriche stagnalis
Calluna vulgaris,Calluna vulgaris
Caltha palustris,Caltha palustris
Calystegia,Calystegia
Calystegia sepium,Calystegia sepium
Calystegia sepium sens.lat.,Calystegia sepium
Calystegia silvatica,Calystegia silvatica
Calystegia silvatica var. quinquepartita,Calystegia silvatica
Calystegia soldanella,Calystegia soldanella
Campanula glomerata,Campanula glomerata
Campanula latifolia,Campanula latifolia
Campanula rotundifolia,Campanula rotundifolia
Campanula trachelium,Campanula trachelium
Capsella bursa-pastoris,Capsella bursa-pastoris
Cardamine,Cardamine
Cardamine amara,Cardamine amara
Cardamine flexuosa,Cardamine flexuosa
Cardamine hirsuta,Cardamine hirsuta
Cardamine pratensis,Cardamine pratensis
